id,created_at,client_id,channel,text,category,confidence,escalate,draft_reply,error
1,2026-06-30T09:10:00+07:00,cl_001,email,"Не прошла оплата картой, деньги списались, но заказ не подтверждён.",billing,high,false,"Спасибо за обращение. Мы проверим статус оплаты и заказа. Если платёж действительно списался, передадим информацию в профильный отдел и вернёмся с ответом в ближайшее время.",""
2,2026-06-30T09:12:00+07:00,cl_002,chat,"Подскажите, как изменить адрес доставки после оформления заказа?",support,high,false,"Спасибо за вопрос. Мы подскажем, можно ли изменить адрес доставки на вашем этапе обработки заказа. Пожалуйста, пришлите номер заказа для проверки.",""
3,2026-06-30T09:14:00+07:00,cl_003,form,"Заказ пришёл с повреждённой упаковкой, внутри один товар помят.",complaint,high,false,"Сожалеем о ситуации. Мы зафиксируем обращение по качеству доставки и поможем оформить дальнейшие действия. Пожалуйста, приложите фото повреждения, если это возможно.",""
4,2026-06-30T09:16:00+07:00,cl_004,email,"Не могу войти в личный кабинет, пароль не подходит, хотя я уверен, что ввожу верно.",support,high,false,"Спасибо за обращение. Мы поможем восстановить доступ к личному кабинету. Пожалуйста, используйте процедуру сброса пароля или сообщите, если потребуется дополнительная проверка.",""
5,2026-06-30T09:18:00+07:00,cl_005,chat,"Почему с меня дважды списали оплату за один и тот же заказ?",billing,high,false,"Спасибо за сообщение. Мы проверим возможное двойное списание и статус заказа. После проверки сообщим, что произошло, и подскажем дальнейшие шаги.",""
6,2026-06-30T09:20:00+07:00,cl_006,form,"Товар не соответствует описанию на сайте.",complaint,high,false,"Спасибо за обращение. Мы передадим информацию по несоответствию товара описанию и уточним возможные варианты решения. Пожалуйста, укажите номер заказа.",""
7,2026-06-30T09:22:00+07:00,cl_007,email,"Где посмотреть трек-номер посылки?",support,high,false,"Спасибо за вопрос. Мы подскажем, где найти трек-номер, и при необходимости уточним статус отправления. Если нужно, отправьте номер заказа.",""
8,2026-06-30T09:24:00+07:00,cl_008,chat,"Прошу вернуть деньги за отменённый заказ, возврат уже обещали, но он не пришёл.",billing,high,false,"Спасибо за обращение. Мы проверим статус возврата и сроки зачисления средств. Если возврат уже был оформлен, уточним, на каком этапе он находится.",""
9,2026-06-30T09:26:00+07:00,cl_009,form,"После обновления приложения перестала работать кнопка оформления заказа.",support,high,false,"Спасибо за сообщение. Мы проверим, что могло повлиять на работу оформления заказа после обновления. Пожалуйста, укажите версию приложения и устройство.",""
10,2026-06-30T09:28:00+07:00,cl_010,email,"Менеджер не отвечает уже три дня, это очень неудобно.",complaint,medium,false,"Сожалеем, что ответ задержался. Мы передадим обращение на контроль и постараемся ускорить реакцию. Спасибо, что сообщили о ситуации.",""
11,2026-06-30T09:30:00+07:00,cl_011,chat,"Не понимаю, как применить промокод к заказу.",support,high,false,"Спасибо за вопрос. Мы подскажем, как применить промокод при оформлении заказа. Если промокод не срабатывает, пришлите его текст для проверки.",""
12,2026-06-30T09:32:00+07:00,cl_012,email,"Списали деньги за подписку, хотя я её отключил.",billing,high,false,"Спасибо за обращение. Мы проверим статус подписки и списания. Если отключение было оформлено корректно, уточним причину платежа и сообщим дальнейшие шаги.",""
13,2026-06-30T09:34:00+07:00,cl_013,form,"Сотрудник поддержки ответил грубо и не помог решить вопрос.",complaint,high,false,"Сожалеем, что вы столкнулись с таким сервисом. Мы зафиксируем жалобу и передадим её на проверку. Спасибо за подробности.",""
14,2026-06-30T09:36:00+07:00,cl_014,chat,"Как узнать, когда будет доставка моего заказа?",support,high,false,"Спасибо за вопрос. Мы поможем проверить ожидаемую дату доставки. Для уточнения отправьте номер заказа.",""
15,2026-06-30T09:38:00+07:00,cl_015,email,"За отмену заказа деньги так и не вернули, хотя прошло уже 10 дней.",billing,high,false,"Спасибо за обращение. Мы проверим статус возврата и причину задержки. После проверки сообщим, когда можно ожидать зачисление средств.",""
16,2026-06-30T09:40:00+07:00,cl_016,form,"Сайт зависает на этапе оплаты, ничего не получается оформить.",support,high,false,"Спасибо за сообщение. Мы проверим проблему на этапе оплаты и постараемся определить причину зависания. Пожалуйста, укажите браузер и устройство.",""
17,2026-06-30T09:42:00+07:00,cl_017,email,"Получил не тот размер товара, который заказывал.",complaint,high,false,"Сожалеем о неверной комплектации. Мы поможем оформить проверку по заказу и подскажем, как решить вопрос с заменой или возвратом.",""
18,2026-06-30T09:44:00+07:00,cl_018,chat,"Можно ли оплатить заказ при получении?",support,high,false,"Спасибо за вопрос. Мы уточним доступные способы оплаты для вашего заказа и подскажем, какие варианты доступны при получении.",""
19,2026-06-30T09:46:00+07:00,cl_019,form,"Платёж отклоняется без объяснения, хотя карта рабочая.",billing,high,false,"Спасибо за обращение. Мы проверим возможную причину отклонения платежа и подскажем, как повторить оплату. Если ошибка сохранится, потребуется дополнительная проверка.",""
20,2026-06-30T09:48:00+07:00,cl_020,email,"Не могу найти раздел с возвратом товара на сайте.",support,high,false,"Спасибо за вопрос. Мы подскажем, где находится раздел возврата товара, и при необходимости направим краткую инструкцию.",""
21,2026-06-30T09:50:00+07:00,cl_021,chat,"Уже второй раз переносите доставку, это неприемлемо.",complaint,high,false,"Сожалеем о повторном переносе доставки. Мы зафиксируем обращение и проверим причину задержки. После этого сообщим актуальную информацию.",""
22,2026-06-30T09:52:00+07:00,cl_022,email,"С меня списали стоимость доставки, хотя на сайте было указано бесплатно.",billing,high,false,"Спасибо за обращение. Мы проверим условия доставки по вашему заказу и основание списания. Если обнаружится ошибка, передадим вопрос на исправление.",""
23,2026-06-30T09:54:00+07:00,cl_023,form,"Не приходит письмо для подтверждения регистрации.",support,high,false,"Спасибо за сообщение. Мы поможем проверить отправку письма для подтверждения регистрации. Пожалуйста, проверьте папку 'Спам' и при необходимости запросите письмо повторно.",""
24,2026-06-30T09:56:00+07:00,cl_024,chat,"Хочу пожаловаться: товар был в нерабочем состоянии уже при получении.",complaint,high,false,"Сожалеем о проблеме с товаром. Мы зафиксируем жалобу и поможем разобраться в ситуации. Пожалуйста, укажите номер заказа и, если возможно, приложите фото.",""
25,2026-06-30T09:58:00+07:00,cl_025,email,"Почему не списались бонусы при оплате заказа?",billing,high,false,"Спасибо за обращение. Мы проверим условия применения бонусов и статус их списания. Если бонусы можно было применить, подскажем причину и возможное решение.",""
26,2026-06-30T10:00:00+07:00,cl_026,form,"Где посмотреть историю заказов в аккаунте?",support,high,false,"Спасибо за вопрос. Мы подскажем, где находится история заказов в личном кабинете. Если раздел отображается некорректно, проверим возможную причину.",""
27,2026-06-30T10:02:00+07:00,cl_027,chat,"Мне вернули не всю сумму после возврата.",billing,high,false,"Спасибо за обращение. Мы проверим расчёт возврата и сумму, которая была зачислена. После проверки сообщим, есть ли расхождение и почему.",""
28,2026-06-30T10:04:00+07:00,cl_028,email,"Курьер не позвонил и оставил заказ у двери, хотя я просил связаться заранее.",complaint,medium,false,"Сожалеем о неудобстве. Мы передадим замечание по доставке и уточним детали по вашему заказу. Спасибо, что сообщили о ситуации.",""
29,2026-06-30T10:06:00+07:00,cl_029,form,"Не удаётся добавить товар в корзину.",support,high,false,"Спасибо за сообщение. Мы проверим, почему товар не добавляется в корзину. Пожалуйста, укажите ссылку на товар и браузер, если ошибка повторяется.",""
30,2026-06-30T10:08:00+07:00,cl_030,email,"Срок возврата денег уже вышел, а средств нет.",billing,high,false,"Спасибо за обращение. Мы проверим статус возврата и сроки обработки платежа. Если срок действительно нарушен, передадим вопрос на дополнительную проверку.",""
31,2026-06-30T10:10:00+07:00,cl_031,chat,"После оплаты мне не пришёл чек.",billing,high,false,"Спасибо за сообщение. Мы проверим отправку чека и статус оплаты. Если чек не сформировался, уточним, как можно его получить повторно.",""
32,2026-06-30T10:12:00+07:00,cl_032,form,"Непонятно, почему заказ отменился автоматически.",support,high,false,"Спасибо за обращение. Мы проверим причину автоматической отмены заказа. После проверки сообщим, что произошло и можно ли восстановить заказ.",""
33,2026-06-30T10:14:00+07:00,cl_033,email,"Сервис постоянно выдаёт ошибку 500, невозможно завершить оформление.",support,high,false,"Спасибо за сообщение. Мы зафиксируем техническую ошибку и проверим её возможную причину. Пожалуйста, укажите, на каком шаге появляется ошибка.",""
34,2026-06-30T10:16:00+07:00,cl_034,chat,"Заказ пришёл позже обещанного срока, мне это испортило планы.",complaint,high,false,"Сожалеем о задержке доставки. Мы проверим статус заказа и зафиксируем ваше замечание. После проверки сообщим актуальную информацию.",""
35,2026-06-30T10:18:00+07:00,cl_035,email,"С карты списалась сумма, но в заказе статус оплаты так и не появился.",billing,high,false,"Спасибо за обращение. Мы проверим расхождение между списанием и статусом заказа. После проверки сообщим, как будет решён вопрос.",""
36,2026-06-30T10:20:00+07:00,cl_036,form,"Как отменить заказ, если он ещё не передан в доставку?",support,high,false,"Спасибо за вопрос. Мы подскажем, как отменить заказ на текущем этапе обработки. Если понадобится, уточним статус и возможные ограничения.",""
37,2026-06-30T10:22:00+07:00,cl_037,chat,"Прислали товар с браком, пользоваться невозможно.",complaint,high,false,"Сожалеем о браке в товаре. Мы зафиксируем обращение и подскажем дальнейшие шаги по замене или возврату. Пожалуйста, укажите номер заказа.",""
38,2026-06-30T10:24:00+07:00,cl_038,email,"Почему стоимость в корзине выросла после выбора доставки?",billing,medium,false,"Спасибо за обращение. Мы проверим, как формируется итоговая стоимость заказа и доставки. После проверки сможем уточнить причину изменения суммы.",""
39,2026-06-30T10:26:00+07:00,cl_039,form,"Не понимаю, как восстановить доступ к аккаунту после смены телефона.",support,high,false,"Спасибо за вопрос. Мы подскажем, как восстановить доступ к аккаунту после смены номера телефона. При необходимости направим пошаговую инструкцию.",""
40,2026-06-30T10:28:00+07:00,cl_040,email,"Возврат уже одобрен, но деньги не приходят на карту.",billing,high,false,"Спасибо за обращение. Мы проверим статус одобренного возврата и сроки зачисления. После проверки сообщим, на каком этапе находится операция.",""
41,2026-06-30T10:30:00+07:00,cl_041,chat,"В заказе указали неверный номер телефона, как это исправить?",support,high,false,"Спасибо за вопрос. Мы подскажем, можно ли изменить контактный номер после оформления заказа. Для проверки, пожалуйста, укажите номер заказа.",""
42,2026-06-30T10:32:00+07:00,cl_042,form,"Очень недоволен качеством упаковки и тем, как доставили покупку.",complaint,high,false,"Сожалеем, что доставка оставила негативное впечатление. Мы зафиксируем обращение и передадим его на проверку. Спасибо за обратную связь.",""
43,2026-06-30T10:34:00+07:00,cl_043,email,"Не проходит оплата через СБП, хотя раньше всё работало.",billing,high,false,"Спасибо за обращение. Мы проверим доступность оплаты через СБП и возможные ограничения. Если ошибка повторяется, потребуется дополнительная проверка.",""
44,2026-06-30T10:36:00+07:00,cl_044,chat,"Где найти инструкцию по возврату товара?",support,high,false,"Спасибо за вопрос. Мы подскажем, где находится инструкция по возврату товара, и кратко объясним порядок действий.",""
45,2026-06-30T10:38:00+07:00,cl_045,email,"С меня удержали комиссию, о которой не было предупреждения.",billing,high,false,"Спасибо за обращение. Мы проверим основания для комиссии и условия, которые были показаны при оформлении. После проверки сообщим детали.",""
46,2026-06-30T10:40:00+07:00,cl_046,form,"После изменения пароля аккаунт всё равно не открывается.",support,high,false,"Спасибо за сообщение. Мы проверим, почему доступ к аккаунту не восстановился после смены пароля. Пожалуйста, укажите, на каком этапе возникает ошибка.",""
47,2026-06-30T10:42:00+07:00,cl_047,chat,"Товар приехал грязный и с явными следами использования.",complaint,high,false,"Сожалеем о такой ситуации. Мы зафиксируем жалобу и передадим её на проверку. Пожалуйста, укажите номер заказа и, если возможно, приложите фото.",""
48,2026-06-30T10:44:00+07:00,cl_048,email,"Не понимаю, почему мне начислили платную подписку без моего согласия.",billing,high,false,"Спасибо за обращение. Мы проверим историю подписки и основания начисления. После проверки сообщим, как будет решён вопрос.",""
49,2026-06-30T10:46:00+07:00,cl_049,form,"Сайт не открывается в мобильном браузере.",support,high,false,"Спасибо за сообщение. Мы проверим возможную проблему с отображением сайта в мобильном браузере. Пожалуйста, укажите модель устройства и браузер.",""
50,2026-06-30T10:48:00+07:00,cl_050,chat,"Почему мой заказ отменили, хотя я уже оплатил его?",billing,high,false,"Спасибо за обращение. Мы проверим статус оплаты и причину отмены заказа. После проверки сообщим, как действовать дальше.",""
51,2026-06-30T10:50:00+07:00,cl_051,email,"Очень долго обрабатываете возврат, это уже третий мой запрос.",complaint,high,false,"Сожалеем о затяжной обработке возврата. Мы зафиксируем повторное обращение и проверим статус вопроса. Спасибо за терпение.",""
52,2026-06-30T10:52:00+07:00,cl_052,form,"Не получается применить подарочный сертификат на оплате.",billing,high,false,"Спасибо за обращение. Мы проверим условия применения сертификата и возможные ограничения. Если потребуется, подскажем, как выполнить оплату корректно.",""
53,2026-06-30T10:54:00+07:00,cl_053,chat,"Как изменить email в профиле?",support,high,false,"Спасибо за вопрос. Мы подскажем, как изменить адрес электронной почты в профиле. Если раздел недоступен, проверим возможные ограничения.",""
54,2026-06-30T10:56:00+07:00,cl_054,email,"Я не доволен обслуживанием: оператор игнорировал мои сообщения.",complaint,medium,false,"Сожалеем, что общение с поддержкой оставило негативное впечатление. Мы зафиксируем жалобу и передадим её на проверку. Спасибо за обратную связь.",""
55,2026-06-30T10:58:00+07:00,cl_055,form,"Списались деньги, но заказ не отображается в истории.",billing,high,false,"Спасибо за обращение. Мы проверим расхождение между оплатой и историей заказов. После проверки сообщим, что произошло и какие шаги предпринять.",""
56,2026-06-30T11:00:00+07:00,cl_056,chat,"Не могу найти кнопку отмены заказа.",support,high,false,"Спасибо за вопрос. Мы подскажем, где находится отмена заказа, и при необходимости проверим, доступна ли она на вашем этапе.",""
57,2026-06-30T11:02:00+07:00,cl_057,email,"Курьер не соблюдал время доставки и приехал намного позже.",complaint,high,false,"Сожалеем о задержке курьера. Мы зафиксируем обращение и проверим детали доставки. Спасибо, что сообщили о проблеме.",""
58,2026-06-30T11:04:00+07:00,cl_058,form,"При оплате пишет, что карта недействительна, хотя она рабочая.",billing,high,false,"Спасибо за обращение. Мы проверим возможную причину ошибки при оплате картой. Если ошибка сохранится, потребуется дополнительная проверка.",""
59,2026-06-30T11:06:00+07:00,cl_059,chat,"Где посмотреть статус возврата денег?",support,high,false,"Спасибо за вопрос. Мы подскажем, где можно посмотреть статус возврата денег. Если статус не отображается, проверим возможную причину.",""
60,2026-06-30T11:08:00+07:00,cl_060,email,"Мне кажется, чат-бот отвечает не по теме и не помогает решить проблему.",complaint,medium,false,"Спасибо за обратную связь. Мы зафиксируем замечание о качестве ответов и передадим его на проверку. Это поможет улучшить сервис.",""